Data;PPI;Produto;Unidade de Medida
01/12/2023;2,8575;Gasolina;R$/litro
01/12/2023;3,6418;Diesel;R$/litro
01/12/2023;3,5132;Diesel;R$/litro
01/12/2023;3,685;Diesel;R$/litro
01/12/2023;3,5984;Diesel;R$/litro
01/12/2023;37,05;GLP;R$/13kg
01/12/2023;36,218;GLP;R$/13kg
01/12/2023;36,426;GLP;R$/13kg
01/12/2023;37,024;GLP;R$/13kg
01/01/2024;2,8493;Gasolina;R$/litro
01/01/2024;2,8121;Gasolina;R$/litro
01/01/2024;2,9197;Gasolina;R$/litro
01/01/2024;3,0455;Gasolina;R$/litro
01/01/2024;3,5211;Diesel;R$/litro
01/01/2024;3,6254;Diesel;R$/litro
01/01/2024;3,724;Diesel;R$/litro
01/01/2024;3,8072;Diesel;R$/litro
01/01/2024;36,985;GLP;R$/13kg
01/01/2024;36,842;GLP;R$/13kg
01/01/2024;37,765;GLP;R$/13kg
01/01/2024;38,168;GLP;R$/13kg
01/02/2024;3,0804;Gasolina;R$/litro
01/02/2024;3,0193;Gasolina;R$/litro
01/02/2024;3,1754;Gasolina;R$/litro
01/02/2024;3,1207;Gasolina;R$/litro
01/02/2024;3,1506;Gasolina;R$/litro
01/02/2024;3,9644;Diesel;R$/litro
01/02/2024;4,0325;Diesel;R$/litro
01/02/2024;4,1935;Diesel;R$/litro
01/02/2024;3,9906;Diesel;R$/litro
01/02/2024;3,9293;Diesel;R$/litro
01/02/2024;37,674;GLP;R$/13kg
01/02/2024;37,96;GLP;R$/13kg
01/02/2024;37,882;GLP;R$/13kg
01/02/2024;38,025;GLP;R$/13kg
01/02/2024;36,894;GLP;R$/13kg
01/03/2024;3,1477;Gasolina;R$/litro
01/03/2024;3,2229;Gasolina;R$/litro
01/03/2024;3,381;Gasolina;R$/litro
01/03/2024;3,3431;Gasolina;R$/litro
01/03/2024;3,936;Diesel;R$/litro
01/03/2024;3,9569;Diesel;R$/litro
01/03/2024;4,0099;Diesel;R$/litro
01/03/2024;3,9313;Diesel;R$/litro
01/03/2024;35,204;GLP;R$/13kg
01/03/2024;35,334;GLP;R$/13kg
01/03/2024;36,712;GLP;R$/13kg
01/03/2024;36,595;GLP;R$/13kg
